department,shift,seniority,contract_type,remote_work,training_status,overtime,manager_rating,absenteeism,performance,attrition
Production,Night,Mid,Permanent,No,Partial,Yes,Medium,High,Low,No
Logistics,Day,Junior,Permanent,No,Completed,Yes,Medium,Low,Medium,No
Operations,Day,Mid,Permanent,No,Completed,No,Low,Low,High,No
Production,Day,Junior,Permanent,No,Completed,No,High,Low,Medium,No
Logistics,Day,Senior,Permanent,Yes,,No,Low,Low,High,No
Operations,Night,Mid,Temporary,No,Partial,Yes,Medium,High,Medium,No
Quality,Day,Mid,Permanent,No,Completed,No,Medium,Medium,Medium,No
Production,Day,Mid,Temporary,Yes,,Yes,High,Medium,Medium,No
Production,Day,Junior,Temporary,Yes,Completed,No,Low,Medium,High,No
Admin,Day,Junior,Permanent,Yes,Partial,Yes,Low,Low,Medium,No
Production,Day,Mid,Temporary,Yes,Completed,No,Low,Low,Medium,No
Operations,Night,Senior,Permanent,Yes,Completed,No,Medium,Low,Medium,No
Operations,Day,Junior,Temporary,No,Completed,No,High,High,Medium,No
Operations,Night,Senior,Permanent,No,Completed,No,High,Low,Medium,No
Operations,Day,Mid,Permanent,No,Completed,No,Low,Low,Low,No
Production,Day,Senior,Permanent,No,,Yes,High,Low,Medium,Yes
Logistics,Night,Mid,Permanent,No,Completed,Yes,Low,High,Medium,No
Operations,Night,Mid,Permanent,No,,Yes,High,Medium,Medium,No
Production,Night,Senior,Permanent,No,Completed,No,Low,Low,High,Yes
Operations,Night,Mid,Permanent,No,,Yes,Medium,Medium,Low,Yes
Admin,Day,Mid,Permanent,No,Partial,Yes,High,Low,Medium,Yes
Logistics,Night,Senior,Permanent,Yes,Completed,Yes,Low,Low,Medium,No
Production,Day,Mid,Permanent,No,Completed,No,Low,Low,High,No
Quality,Day,Mid,Permanent,No,Completed,No,Low,Low,Medium,No
Logistics,Day,Mid,Permanent,Yes,Completed,No,Medium,Medium,High,No
Logistics,Day,Mid,Permanent,Yes,Completed,No,High,Low,High,No
Logistics,Night,Mid,Permanent,Yes,Completed,Yes,Medium,Low,High,No
Logistics,Night,Senior,Permanent,No,Completed,No,Medium,Low,Medium,No
Operations,Day,Mid,Permanent,Yes,Completed,No,Medium,Low,Low,No
Operations,Day,Mid,Permanent,No,Completed,No,Medium,High,Medium,No
Logistics,Day,Junior,Permanent,Yes,Completed,Yes,High,Low,Medium,No
Admin,Night,Mid,Permanent,Yes,Partial,No,Medium,Medium,Medium,Yes
Logistics,Night,Mid,Temporary,Yes,Completed,No,High,Low,Medium,No
Operations,Night,Mid,Permanent,No,Completed,No,High,High,Low,No
Production,Day,Mid,Permanent,Yes,Completed,No,Medium,Low,Medium,No
Logistics,Night,Junior,Permanent,No,Partial,Yes,Low,High,Medium,No
Admin,Night,Mid,Permanent,No,Partial,Yes,Medium,Low,Medium,No
Logistics,Day,Senior,Temporary,No,Partial,Yes,High,High,Low,No
Production,Day,Senior,Permanent,Yes,Partial,Yes,Medium,Low,Low,No
Quality,Day,Mid,Permanent,No,,Yes,Medium,Medium,High,No
Admin,Day,Mid,Permanent,No,Completed,No,Medium,Medium,Medium,Yes
Production,Day,Senior,Temporary,Yes,Completed,Yes,High,Low,High,No
Operations,Day,Mid,Permanent,No,,No,Low,Medium,Low,No
Quality,Day,Senior,Permanent,Yes,Partial,Yes,High,Low,Medium,No
Logistics,Day,Senior,Permanent,No,,Yes,Low,Medium,High,No
Quality,Day,Junior,Permanent,No,Completed,No,High,Medium,Low,No
Operations,Day,Mid,Permanent,No,Completed,Yes,Medium,Medium,High,No
Production,Night,Junior,Permanent,No,Completed,No,Low,Low,Low,No
Operations,Night,Junior,Permanent,No,Completed,No,High,High,Low,Yes
Quality,Night,Mid,Permanent,Yes,Completed,No,Low,Low,High,No
Quality,Night,Mid,Permanent,Yes,Completed,No,Medium,Low,High,No
Production,Night,Mid,Permanent,Yes,Completed,No,Medium,Medium,Medium,No
Operations,Day,Mid,Temporary,No,,No,Medium,Medium,Low,No
Logistics,Night,Senior,Permanent,No,Completed,Yes,High,Low,High,No
Quality,Day,Senior,Permanent,Yes,,No,High,Low,Medium,No
Logistics,Day,Senior,Permanent,No,,Yes,High,Low,Medium,No
Operations,Day,Senior,Permanent,Yes,Partial,No,Medium,Low,Medium,No
Admin,Day,Senior,Permanent,No,Completed,No,Medium,Low,Medium,No
Operations,Day,Senior,Permanent,No,Completed,No,High,Low,High,No
Production,Day,Junior,Temporary,Yes,,Yes,Low,Low,Low,Yes
Logistics,Day,Mid,Temporary,No,Partial,Yes,Low,High,Low,No
Logistics,Day,Junior,Permanent,Yes,Partial,No,Medium,Low,Medium,Yes
Quality,Day,Senior,Permanent,Yes,,No,High,Low,Medium,No
Operations,Day,Mid,Temporary,Yes,Partial,Yes,Medium,Low,Medium,No
Operations,Day,Mid,Temporary,No,Completed,No,Medium,Medium,High,No
Production,Night,Mid,Permanent,No,Completed,No,High,Low,High,Yes
Production,Day,Junior,Temporary,No,Completed,Yes,Medium,High,Medium,No
Quality,Night,Junior,Temporary,No,Partial,Yes,Medium,High,High,No
Operations,Day,Senior,Permanent,No,Completed,No,Medium,Low,Medium,No
Production,Day,Senior,Temporary,No,Completed,No,Medium,High,Medium,No
Logistics,Night,Mid,Temporary,Yes,Completed,No,High,Low,Low,No
Admin,Day,Mid,Temporary,No,Completed,No,Medium,Low,Low,No
Production,Night,Senior,Temporary,Yes,Partial,No,Medium,Low,Medium,No
Operations,Night,Junior,Temporary,Yes,Completed,Yes,High,Low,Medium,No
Admin,Night,Junior,Permanent,No,Completed,Yes,Medium,Low,Low,No
Logistics,Night,Senior,Permanent,No,Completed,No,Medium,High,High,No
Quality,Day,Mid,Permanent,Yes,Completed,No,Medium,Low,High,No
Operations,Night,Junior,Temporary,No,Partial,Yes,Medium,High,Low,No
Quality,Day,Mid,Temporary,No,Completed,No,High,High,Medium,No
Production,Day,Mid,Permanent,No,,No,High,Medium,High,No
Quality,Night,Mid,Permanent,Yes,Partial,No,Low,Medium,Medium,Yes
Production,Day,Junior,Permanent,No,Partial,Yes,Medium,Low,Medium,No
Operations,Day,Mid,Temporary,Yes,Completed,No,Medium,Low,Medium,No
Logistics,Night,Junior,Permanent,Yes,Partial,Yes,Medium,Medium,High,No
Operations,Day,Junior,Temporary,No,,No,Low,High,Low,No
Operations,Night,Junior,Temporary,No,Partial,Yes,Medium,High,Low,No
Operations,Day,Mid,Permanent,Yes,Partial,Yes,High,Medium,Medium,No
Quality,Night,Mid,Permanent,Yes,Completed,No,Medium,Medium,Medium,No
Operations,Night,Mid,Temporary,No,Partial,Yes,High,Medium,Medium,No
Logistics,Day,Senior,Temporary,No,Partial,No,Medium,Medium,Medium,No
Operations,Day,Junior,Permanent,No,Completed,No,Low,Medium,Medium,No
Production,Day,Junior,Permanent,Yes,Partial,No,Medium,Low,Medium,Yes
Logistics,Night,Mid,Temporary,Yes,Completed,Yes,High,Low,Low,No
Operations,Night,Mid,Permanent,No,Partial,Yes,Medium,Medium,Low,No
Logistics,Night,Junior,Temporary,Yes,Completed,No,Medium,Medium,Low,No
Quality,Day,Senior,Temporary,No,Completed,No,High,Low,High,No
Production,Day,Junior,Permanent,No,Completed,No,Low,Low,High,No
Quality,Night,Mid,Permanent,No,Partial,No,Medium,Medium,Medium,No
Operations,Day,Mid,Permanent,No,Completed,No,Low,Low,High,No
Production,Day,Senior,Permanent,Yes,Completed,Yes,Medium,Low,Medium,No
Quality,Night,Junior,Temporary,Yes,,No,Medium,Medium,Medium,Yes
Quality,Night,Mid,Permanent,Yes,Partial,Yes,High,Low,Medium,No
Production,Day,Junior,Permanent,Yes,Completed,Yes,Medium,Medium,Low,No
Quality,Day,Mid,Permanent,No,Partial,No,Medium,Low,High,No
Quality,Day,Junior,Permanent,Yes,Partial,No,Low,Low,Low,No
Quality,Night,Junior,Temporary,No,Completed,No,High,Low,Medium,Yes
Operations,Night,Senior,Permanent,Yes,Partial,No,Low,Medium,Medium,No
Quality,Day,Senior,Permanent,Yes,Completed,No,High,Low,High,No
Quality,Day,Senior,Permanent,No,Completed,No,Medium,Low,High,Yes
Quality,Night,Junior,Permanent,No,Completed,No,High,Medium,Medium,No
Operations,Night,Junior,Permanent,No,Completed,No,High,Medium,Medium,No
Quality,Night,Junior,Permanent,No,,No,High,High,Low,No
Logistics,Day,Senior,Permanent,No,,Yes,High,Low,High,No
Quality,Night,Senior,Permanent,No,Partial,No,Medium,Low,Medium,No
Admin,Day,Mid,Temporary,No,Completed,No,High,Medium,Medium,No
Admin,Night,Senior,Permanent,No,Completed,Yes,High,Low,Medium,Yes
Operations,Day,Mid,Permanent,No,Partial,No,Medium,Medium,High,No
Logistics,Day,Mid,Permanent,No,Completed,Yes,High,Medium,High,No
Quality,Day,Mid,Permanent,No,Completed,Yes,Low,High,Low,Yes
Operations,Day,Senior,Permanent,No,Partial,Yes,Medium,Low,Medium,No
Quality,Day,Mid,Permanent,Yes,Partial,Yes,Medium,Low,Low,No
Quality,Day,Mid,Permanent,No,Partial,No,High,Low,Low,No
Operations,Day,Mid,Temporary,Yes,Completed,Yes,High,Low,High,No
Operations,Night,Senior,Temporary,No,Partial,Yes,Medium,Low,High,No
Production,Night,Mid,Permanent,Yes,,Yes,High,Medium,Medium,No
Production,Day,Mid,Permanent,No,Completed,Yes,Low,Medium,Medium,No
Logistics,Day,Mid,Permanent,Yes,,No,Low,Medium,Medium,No
Operations,Day,Mid,Permanent,No,Partial,No,Medium,Medium,Medium,No
Logistics,Day,Senior,Permanent,No,Completed,No,Medium,Low,Medium,No
Logistics,Day,Junior,Temporary,No,Completed,Yes,High,Medium,Medium,Yes
Quality,Day,Junior,Temporary,No,Completed,No,High,Medium,High,No
Operations,Day,Mid,Temporary,Yes,Partial,No,Low,High,Medium,No
Operations,Night,Junior,Permanent,No,Partial,Yes,High,Low,High,No
Quality,Day,Mid,Permanent,No,,Yes,High,Low,Medium,No
Quality,Day,Senior,Permanent,No,Completed,Yes,Medium,Low,High,Yes
Operations,Night,Mid,Permanent,No,Completed,Yes,Medium,Medium,Low,Yes
Production,Night,Junior,Temporary,No,Partial,Yes,High,High,Low,No
Production,Night,Junior,Permanent,No,Partial,Yes,Low,High,Medium,No
Quality,Day,Senior,Permanent,No,Partial,No,Low,Medium,High,No
Quality,Day,Mid,Permanent,Yes,Partial,Yes,High,Medium,Medium,No
Logistics,Night,Junior,Permanent,Yes,Partial,Yes,High,High,Medium,No
Logistics,Night,Senior,Permanent,No,Completed,No,High,High,Medium,No
Quality,Day,Senior,Permanent,No,Completed,No,Medium,Medium,Medium,No
Logistics,Day,Junior,Permanent,No,Partial,No,Medium,Low,High,Yes
Logistics,Day,Junior,Temporary,No,Completed,Yes,High,Medium,Medium,Yes
Logistics,Night,Junior,Temporary,Yes,Partial,No,High,High,High,No
Production,Day,Mid,Permanent,No,Completed,No,High,Low,Medium,No
Logistics,Night,Mid,Temporary,No,Partial,No,Low,Medium,High,No
Logistics,Day,Senior,Temporary,No,Partial,Yes,High,Low,Low,Yes
Production,Night,Mid,Temporary,No,,Yes,Low,High,Low,No
Operations,Day,Mid,Temporary,No,Completed,No,Low,Low,Medium,No
Operations,Day,Mid,Permanent,No,Partial,Yes,Low,High,Medium,No
Operations,Night,Junior,Temporary,No,,No,Medium,Medium,Low,No
Quality,Day,Mid,Permanent,Yes,,No,High,Medium,High,No
Quality,Night,Junior,Permanent,No,Completed,No,Low,High,Medium,No
Quality,Day,Senior,Permanent,No,Partial,No,Medium,Medium,High,No
Operations,Night,Mid,Permanent,No,Partial,Yes,Medium,Low,High,No
Production,Night,Senior,Permanent,Yes,,No,High,High,Medium,No
Quality,Day,Mid,Permanent,Yes,,Yes,High,Low,High,Yes
Admin,Day,Senior,Permanent,No,Partial,No,Medium,Medium,Low,No
Admin,Day,Senior,Temporary,Yes,Completed,No,Low,Low,High,No
Operations,Night,Mid,Permanent,No,Completed,Yes,High,Low,High,No
Operations,Day,Mid,Permanent,No,Completed,No,Medium,Medium,High,No
Operations,Night,Mid,Permanent,No,Partial,No,Medium,High,Medium,No
Logistics,Day,Junior,Permanent,Yes,Partial,No,Medium,Low,Low,No
Operations,Day,Mid,Permanent,No,Partial,Yes,High,Medium,Medium,Yes
Quality,Day,Senior,Permanent,Yes,,Yes,High,Medium,Medium,No
Quality,Day,Senior,Temporary,No,Partial,Yes,Medium,Medium,Medium,No
Production,Day,Senior,Permanent,No,Completed,No,High,Low,High,No
Production,Night,Junior,Permanent,No,Partial,No,High,Medium,Medium,No
Operations,Day,Senior,Permanent,Yes,Completed,Yes,High,Low,Medium,No
Logistics,Day,Mid,Temporary,Yes,Completed,No,Medium,High,Medium,No
Admin,Day,Mid,Temporary,No,,Yes,Low,High,Medium,Yes
Production,Day,Senior,Permanent,Yes,Completed,No,Low,Low,High,Yes
Operations,Night,Mid,Temporary,No,Partial,No,Low,Medium,Medium,No
Operations,Night,Senior,Permanent,Yes,Partial,Yes,High,Low,Low,No
Quality,Day,Junior,Permanent,No,Completed,Yes,High,Medium,Low,No
Quality,Day,Mid,Temporary,No,Partial,No,Low,Medium,Medium,No
Admin,Day,Senior,Permanent,No,Completed,No,Low,Medium,Medium,No
Production,Day,Senior,Permanent,No,,Yes,Medium,Medium,Low,No
Logistics,Day,Mid,Temporary,Yes,Partial,No,Medium,Low,High,No
Production,Day,Senior,Permanent,Yes,Partial,No,Medium,Low,High,No
Production,Night,Senior,Temporary,Yes,Partial,No,Medium,Low,Medium,No
Production,Night,Mid,Permanent,No,Partial,Yes,High,Low,Medium,No
Admin,Day,Junior,Permanent,Yes,Partial,No,Medium,Medium,Medium,No
Production,Day,Junior,Permanent,No,Completed,Yes,High,Low,Medium,No
Logistics,Night,Senior,Permanent,No,Completed,No,Medium,Low,Low,Yes
Production,Night,Junior,Permanent,No,Completed,No,Low,Low,Medium,No
Operations,Night,Mid,Permanent,Yes,,Yes,Low,Medium,Low,No
Logistics,Day,Senior,Temporary,No,Partial,No,Medium,High,High,No
Logistics,Day,Mid,Permanent,No,Partial,Yes,Medium,Low,Low,No
Admin,Day,Mid,Permanent,No,Completed,No,High,High,Medium,No
Logistics,Day,Junior,Permanent,Yes,,No,Low,Medium,High,No
Quality,Night,Senior,Permanent,No,Partial,No,Low,Medium,Medium,No
Operations,Day,Senior,Permanent,Yes,Partial,No,Low,Low,Low,No
Production,Night,Senior,Permanent,No,Completed,Yes,Low,Low,High,No
Production,Night,Mid,Permanent,Yes,Completed,Yes,Medium,Medium,High,No
Quality,Night,Senior,Temporary,No,,Yes,Medium,Low,Medium,No
Operations,Day,Junior,Permanent,No,,No,High,Medium,Low,No
Operations,Day,Senior,Temporary,No,,No,Medium,Medium,High,No
Quality,Night,Junior,Permanent,No,Completed,No,Medium,Low,Medium,No
Quality,Day,Senior,Permanent,No,Partial,No,High,Low,Low,No
Logistics,Night,Senior,Permanent,No,,No,High,High,High,No
Logistics,Night,Senior,Permanent,Yes,Partial,No,Medium,Low,Medium,No
Logistics,Day,Junior,Permanent,Yes,Partial,No,Medium,Medium,Medium,Yes
Operations,Day,Junior,Permanent,Yes,Completed,No,Medium,High,High,No
Logistics,Night,Senior,Temporary,Yes,,Yes,Medium,Medium,Medium,No
Production,Night,Mid,Temporary,No,Partial,No,Medium,Low,High,No
Operations,Day,Mid,Temporary,No,Completed,No,Low,Low,Medium,No
Logistics,Night,Senior,Temporary,No,Completed,Yes,Medium,Medium,Medium,No
Operations,Day,Mid,Permanent,No,Partial,Yes,Medium,Low,Low,No
Production,Day,Senior,Permanent,No,Completed,No,Medium,High,High,No
Operations,Night,Mid,Permanent,Yes,,No,Medium,High,Medium,No
Quality,Night,Mid,Permanent,Yes,Partial,Yes,High,High,Medium,No
Operations,Day,Senior,Permanent,No,,Yes,Low,Low,Low,Yes
Quality,Day,Junior,Permanent,Yes,Partial,Yes,Medium,Low,High,Yes
Logistics,Day,Senior,Permanent,No,Partial,Yes,Medium,Medium,Low,No
Logistics,Day,Senior,Permanent,No,Completed,No,Medium,Medium,Medium,No
Logistics,Day,Mid,Temporary,No,,No,Low,Low,Low,No
Logistics,Day,Senior,Permanent,Yes,Partial,Yes,Medium,Medium,Medium,No
Logistics,Day,Mid,Temporary,No,Partial,Yes,Low,High,Low,No
Operations,Day,Mid,Temporary,Yes,Completed,No,High,Low,Medium,No
Production,Day,Mid,Permanent,Yes,Partial,No,Medium,High,High,No
Quality,Day,Mid,Permanent,No,Completed,No,Medium,Medium,High,Yes
Operations,Day,Senior,Permanent,No,Partial,Yes,Medium,Medium,Low,No
Quality,Day,Junior,Temporary,No,,Yes,Medium,Low,Medium,No
Quality,Night,Junior,Permanent,No,Completed,No,High,Medium,Medium,No
Logistics,Day,Mid,Permanent,No,Partial,No,Medium,Low,Medium,No
Quality,Night,Mid,Permanent,No,Completed,Yes,Low,High,Medium,No
Quality,Night,Senior,Permanent,Yes,Partial,Yes,Medium,Low,High,No
Quality,Night,Senior,Permanent,No,Partial,No,High,High,Medium,No
Operations,Day,Mid,Permanent,No,Partial,No,Low,Medium,High,No
Operations,Night,Mid,Permanent,No,Completed,No,Medium,Low,Low,Yes
Production,Night,Mid,Temporary,No,Completed,No,Medium,High,Medium,Yes
Logistics,Night,Junior,Permanent,No,Completed,Yes,High,High,High,No
Operations,Night,Junior,Permanent,No,Completed,No,Low,Medium,Low,No
Operations,Night,Mid,Permanent,No,Partial,No,High,Medium,Medium,No
Production,Day,Junior,Permanent,No,,No,Low,Low,Low,Yes
Operations,Night,Mid,Permanent,No,Completed,No,Low,High,Low,No
Operations,Day,Senior,Permanent,Yes,Partial,No,Low,Medium,Low,No
Quality,Day,Mid,Permanent,No,Completed,No,Low,Medium,Medium,No
Quality,Night,Mid,Permanent,No,,Yes,Low,High,Medium,No
Production,Day,Mid,Permanent,Yes,Completed,Yes,Medium,Medium,High,No
Quality,Night,Junior,Permanent,No,,No,Medium,High,Medium,Yes
Operations,Day,Mid,Permanent,Yes,Partial,Yes,High,Medium,Medium,No
Production,Day,Mid,Permanent,Yes,Partial,Yes,High,Low,Medium,No
Logistics,Day,Junior,Permanent,No,Completed,No,Low,Low,Low,No
Production,Day,Mid,Permanent,No,Partial,No,High,Medium,Low,No
Logistics,Night,Mid,Permanent,Yes,Completed,Yes,Medium,Low,High,No
Production,Day,Mid,Permanent,No,Partial,No,Low,Low,High,No
Quality,Day,Junior,Temporary,Yes,Partial,No,Low,Medium,Low,Yes
Quality,Day,Junior,Permanent,No,Partial,No,High,Medium,Medium,No
Quality,Night,Junior,Permanent,Yes,Completed,No,Medium,Medium,Medium,No
Quality,Day,Junior,Permanent,No,Partial,No,Medium,Low,Medium,No
Operations,Day,Mid,Permanent,No,Completed,Yes,Medium,Medium,Medium,No
Logistics,Day,Junior,Temporary,Yes,,No,Medium,Low,Medium,No
Production,Day,Mid,Permanent,No,Completed,No,Medium,Medium,High,Yes
Logistics,Night,Mid,Permanent,No,,Yes,Low,Low,High,No
Production,Night,Mid,Temporary,No,Completed,No,Medium,High,Medium,No
Logistics,Day,Senior,Permanent,Yes,Partial,Yes,High,Medium,High,No
Production,Day,Mid,Permanent,Yes,Partial,No,Medium,High,High,No
Production,Day,Junior,Permanent,No,Partial,Yes,High,Medium,High,No
Logistics,Day,Senior,Temporary,No,Completed,No,Medium,Low,Medium,No
Quality,Day,Senior,Permanent,No,Completed,No,Medium,Low,High,Yes
Admin,Day,Senior,Permanent,No,Completed,No,Low,Medium,High,No
Admin,Day,Senior,Temporary,No,Partial,No,Medium,Medium,Medium,No
Logistics,Night,Senior,Permanent,No,,No,High,Medium,Medium,No
Logistics,Night,Mid,Permanent,No,,Yes,Low,Medium,Medium,No
Operations,Day,Mid,Permanent,No,Partial,No,Low,High,Medium,No
Operations,Night,Junior,Permanent,No,Completed,No,Low,Low,Low,No
Quality,Night,Junior,Permanent,Yes,Partial,No,Medium,Low,Medium,Yes
Quality,Day,Mid,Permanent,No,,No,High,Medium,Medium,No
Production,Night,Mid,Temporary,No,Partial,No,Medium,Low,High,No
Logistics,Day,Junior,Temporary,No,Partial,Yes,Medium,Medium,Medium,Yes
Logistics,Day,Mid,Temporary,Yes,Partial,No,High,Medium,Low,No
Operations,Night,Junior,Permanent,Yes,Completed,Yes,Medium,Low,Medium,No
Operations,Day,Senior,Permanent,Yes,,No,Low,Medium,Low,No
Logistics,Day,Junior,Permanent,No,Partial,No,Low,Low,High,No
Production,Day,Junior,Temporary,No,Completed,Yes,Medium,Low,High,No
Production,Day,Mid,Permanent,No,Partial,No,Medium,Low,Medium,No
Operations,Night,Junior,Permanent,No,Partial,Yes,High,High,Medium,No
Logistics,Day,Junior,Permanent,Yes,Completed,Yes,High,Low,Medium,No
Operations,Night,Senior,Permanent,Yes,,Yes,Low,High,Low,No
Operations,Night,Mid,Permanent,Yes,Completed,No,High,Medium,Low,No
Operations,Day,Senior,Permanent,Yes,Completed,Yes,Low,Low,Low,No
Production,Day,Mid,Permanent,No,Completed,No,High,Medium,High,Yes
Quality,Night,Senior,Temporary,No,Completed,No,Medium,Medium,High,No
Production,Day,Mid,Temporary,No,Partial,Yes,High,Low,Low,No
Quality,Day,Senior,Permanent,No,Completed,Yes,Medium,High,Medium,No
Production,Day,Mid,Temporary,Yes,Completed,No,High,Low,Low,No
Admin,Night,Senior,Permanent,No,,No,High,Medium,Medium,Yes
Production,Day,Junior,Temporary,No,Completed,No,Medium,Medium,Medium,No
Operations,Day,Mid,Permanent,Yes,Partial,Yes,Medium,Medium,Medium,No
Admin,Day,Junior,Temporary,Yes,Partial,No,Medium,High,Medium,No
Operations,Day,Senior,Permanent,No,Completed,No,High,Low,Medium,No
Production,Night,Mid,Temporary,Yes,,No,Low,Medium,Low,Yes
Operations,Night,Junior,Temporary,Yes,Partial,No,Medium,Low,Medium,No
Production,Day,Junior,Permanent,No,,Yes,Low,High,Low,No
Admin,Night,Mid,Permanent,No,Partial,Yes,Medium,Low,Medium,No
Operations,Night,Junior,Permanent,Yes,Partial,No,Medium,Medium,Medium,No
Operations,Night,Senior,Permanent,No,,Yes,Low,Medium,Low,Yes
Production,Night,Junior,Permanent,No,Partial,No,High,Low,Medium,Yes
Admin,Night,Mid,Permanent,No,,No,Low,Medium,Medium,No
Quality,Night,Mid,Permanent,No,Completed,No,Low,High,High,Yes
Operations,Day,Junior,Permanent,No,Completed,No,Medium,Low,Medium,No
Quality,Day,Senior,Temporary,No,Completed,No,Medium,High,Low,No
Operations,Night,Mid,Permanent,No,Completed,No,Low,High,Medium,No
Logistics,Day,Mid,Temporary,No,Partial,No,High,Medium,Low,No
Admin,Day,Mid,Temporary,No,Completed,Yes,Low,Medium,Low,Yes
Production,Day,Mid,Permanent,Yes,Completed,No,High,Medium,High,No
Quality,Day,Senior,Temporary,No,Completed,No,High,Low,High,No
Quality,Day,Junior,Temporary,No,,No,Low,Medium,Low,No
Operations,Day,Senior,Permanent,No,,Yes,Medium,High,Medium,No
Logistics,Day,Junior,Permanent,Yes,Partial,Yes,Medium,Medium,High,No
Admin,Day,Mid,Permanent,No,,Yes,Medium,Low,Low,No
Operations,Night,Junior,Permanent,No,Partial,Yes,Low,High,Low,No
Logistics,Day,Mid,Temporary,No,Partial,No,Medium,Low,Low,No
Operations,Day,Junior,Permanent,No,Completed,No,Medium,Medium,Low,No
Quality,Day,Mid,Permanent,No,Partial,Yes,Low,High,Medium,No
Operations,Night,Mid,Permanent,No,Partial,Yes,High,Low,Low,No
Operations,Day,Junior,Permanent,No,Partial,Yes,Medium,Low,High,Yes
Production,Day,Senior,Permanent,No,Partial,No,High,Low,Medium,No
Quality,Day,Senior,Temporary,No,,Yes,Medium,Medium,Medium,No
Operations,Night,Mid,Permanent,No,Partial,No,Medium,High,High,No
Operations,Night,Senior,Permanent,No,Completed,No,High,Medium,Medium,No
Logistics,Day,Senior,Permanent,No,,Yes,High,High,Medium,No
Operations,Day,Mid,Permanent,Yes,Partial,Yes,Medium,Medium,Medium,No
Operations,Night,Mid,Permanent,Yes,Partial,No,Medium,Low,High,Yes
Quality,Day,Junior,Permanent,Yes,Completed,No,Low,Low,High,No
Quality,Day,Senior,Temporary,Yes,Completed,No,Medium,Low,Medium,No
Logistics,Night,Senior,Permanent,Yes,Partial,No,Medium,Low,Medium,No
Production,Day,Senior,Permanent,No,,Yes,Medium,Medium,Low,No
Operations,Day,Mid,Permanent,Yes,Partial,Yes,Medium,Medium,Medium,No
Production,Night,Mid,Temporary,Yes,,No,Low,Low,Low,No
Operations,Day,Mid,Temporary,No,Partial,No,Medium,Medium,Medium,No
Production,Day,Mid,Permanent,Yes,,Yes,Medium,Low,Medium,No
Production,Day,Junior,Temporary,No,,Yes,Medium,Low,Medium,No
Quality,Day,Senior,Permanent,Yes,Partial,No,Medium,Low,Medium,No
Quality,Day,Senior,Temporary,Yes,,No,High,Low,Low,Yes
Operations,Night,Junior,Permanent,No,Partial,Yes,High,Low,Medium,No
Admin,Day,Junior,Permanent,No,Completed,No,Medium,Low,Medium,No
Logistics,Night,Mid,Permanent,No,Partial,Yes,Medium,Medium,High,No
Operations,Day,Mid,Permanent,No,Completed,No,Medium,High,Medium,No
Quality,Night,Senior,Temporary,No,Partial,No,Medium,Low,Medium,No
Operations,Day,Mid,Temporary,No,Completed,No,Medium,Low,Medium,No
Operations,Day,Junior,Permanent,No,Partial,No,Medium,Medium,Medium,No
Production,Day,Mid,Permanent,No,,No,Medium,High,High,No
Logistics,Night,Mid,Permanent,Yes,Partial,Yes,Medium,Medium,High,No
Admin,Day,Senior,Permanent,Yes,Completed,No,Low,Medium,Medium,No
Quality,Day,Mid,Permanent,Yes,Partial,Yes,High,Medium,Low,No
Admin,Day,Senior,Permanent,No,Partial,No,Medium,Medium,Low,No
Operations,Night,Mid,Permanent,No,Completed,Yes,High,Medium,Low,No
Operations,Night,Junior,Temporary,Yes,Completed,Yes,High,Medium,Low,No
Operations,Night,Mid,Permanent,Yes,,No,Medium,Medium,Medium,No
Logistics,Day,Mid,Permanent,No,Partial,No,High,High,Medium,Yes
Quality,Day,Mid,Permanent,No,,No,Medium,High,Medium,No
Operations,Day,Senior,Temporary,Yes,,Yes,High,Low,Medium,No
Quality,Night,Mid,Permanent,Yes,,No,Medium,Low,Medium,No
Quality,Day,Mid,Permanent,No,Completed,No,High,Low,High,Yes
Operations,Night,Mid,Permanent,No,,No,High,High,High,No
Production,Night,Mid,Permanent,Yes,,No,Medium,Medium,High,No
Operations,Day,Senior,Permanent,Yes,Completed,No,Low,Medium,Medium,No
Production,Day,Mid,Permanent,Yes,Completed,No,Low,Medium,High,No
Production,Day,Senior,Permanent,No,,No,Medium,Medium,Medium,No
Quality,Night,Mid,Temporary,Yes,Completed,No,High,Low,Medium,No
Logistics,Night,Mid,Temporary,Yes,Completed,No,Low,Low,Low,No
Quality,Night,Junior,Temporary,No,,Yes,Medium,Low,Medium,Yes
Logistics,Day,Mid,Permanent,No,,No,Low,Low,Low,No
Operations,Day,Senior,Temporary,No,Completed,No,Low,Low,High,No
Logistics,Day,Senior,Permanent,No,,Yes,Low,High,Medium,No
Admin,Day,Junior,Permanent,No,Partial,Yes,Low,Low,High,No
Operations,Day,Mid,Temporary,No,Partial,Yes,Medium,Medium,High,No
Quality,Night,Mid,Permanent,Yes,Partial,Yes,High,High,High,No
Production,Night,Mid,Permanent,Yes,Completed,Yes,Low,Low,Medium,No
Quality,Day,Junior,Temporary,Yes,Partial,No,Medium,Medium,Low,No
Quality,Day,Senior,Temporary,No,Completed,No,Low,Low,Medium,No
Production,Day,Senior,Temporary,No,Completed,Yes,Medium,High,Low,No
Production,Day,Senior,Permanent,No,,No,Medium,Medium,Medium,No
Quality,Day,Senior,Permanent,No,Completed,No,Medium,Low,Low,Yes
Operations,Night,Junior,Permanent,Yes,Completed,No,Low,Low,High,No
